model,disease,horizon,mae,rmse,smape
lstm,hepatite,6,0.24159473149652536,0.6125501694997472,192.4249479838889
lstm,hepatite,12,0.20075242246358835,0.824723856088997,187.43513178006793
lstm,hiv_aids,1,3.0260318854072,6.607219667418676,109.62076142386252
lstm,hiv_aids,3,2.508582310821862,5.887282524531509,110.76818074751604
lstm,hiv_aids,6,3.9786701777615376,12.179793060096118,120.52874041422442
lstm,hiv_aids,12,3.1554221423101327,8.042571382323544,107.95308776121372
lstm,sifilis,1,3.9932405785673,7.714155460104904,120.38763951641668
lstm,sifilis,3,3.625454719514522,6.736810019347753,116.93517913298916
lstm,sifilis,6,3.4469323358560127,5.541752769610374,112.38158801450501
lstm,sifilis,12,3.661405844638133,6.331237315416927,109.03756039373687
lstm,tuberculose,1,2.800061641726643,4.728085397214462,76.45884340284326
lstm,tuberculose,3,2.9267226611871435,5.370112639108278,65.42875110794685
lstm,tuberculose,6,2.988697937588491,5.713921965100266,63.214334581885566
lstm,tuberculose,12,2.6877587147907396,4.553841686353298,61.11768654033962
nhits,hanseniase,1,0.24619533976229124,1.0281747961608438,194.60765807416934
nhits,hanseniase,3,0.3141871481565748,0.8213035925473939,193.56555649739042
nhits,hanseniase,6,0.479103943450965,2.0826346147043,194.76424079508394
nhits,hanseniase,12,0.3901512000339458,0.9020828424815203,194.87309700629908
nhits,hepatite,1,0.16514687606199321,0.6183721489897694,196.38238544492893
nhits,hepatite,3,0.2563515611900189,0.989580990489914,199.08768422501842
nhits,hepatite,6,0.1965591063001383,0.5483762371777067,195.81982764897873
nhits,hepatite,12,0.2574012688771331,1.0134063597180663,199.03180188365818
nhits,hiv_aids,1,4.407818803517407,11.278863976967244,151.16117729035608
nhits,hiv_aids,3,3.784160235397236,8.649162843706684,155.40319470120352
nhits,hiv_aids,6,3.6087404345094938,8.166022225730444,159.8349361419136
nhits,hiv_aids,12,4.112512698467158,9.168126872915092,163.15521232734653
nhits,sifilis,1,3.084180635594873,5.0607403622280485,108.65662325070753
nhits,sifilis,3,3.455517309870967,5.547779699522389,109.76564803119417
nhits,sifilis,6,2.9939025057106305,4.166733291463367,104.83829032896415
nhits,sifilis,12,4.2113041138447365,6.812333913100945,108.93553845378634
nhits,tuberculose,1,3.330316580315729,5.408687461574984,98.15718624091481
nhits,tuberculose,3,2.9982467851318084,4.645957552150982,93.59541141847008
nhits,tuberculose,6,3.012452516309998,5.369283344265415,95.27351581136348
nhits,tuberculose,12,3.369979009179032,6.009669721849299,92.72918302081493
tft,hanseniase,1,0.5643585913678751,1.7209823128649666,196.27319912386633
tft,hanseniase,3,0.6799710512772728,1.7252316035427828,193.53436215889826
tft,hanseniase,6,0.6228733505414573,1.893943459407749,192.55730731425777
tft,hanseniase,12,0.6679477368362967,1.5295577729985683,192.32442907967095
tft,hepatite,1,0.1807214603234866,0.560914659594484,194.09213973262206
tft,hepatite,3,0.22014746096252202,0.864579409336987,194.865885141625
tft,hepatite,6,0.23940802315110657,0.6369635670162992,192.0500233038712
tft,hepatite,12,0.24163274820338898,0.9039392991171982,193.3489722757608
tft,hiv_aids,1,2.504828890953021,5.8827019276192845,93.76788460665615
tft,hiv_aids,3,2.7112868904889935,6.6653207822024765,99.82473672381191
tft,hiv_aids,6,4.051892837937529,11.934621710927473,106.33090088779397
tft,hiv_aids,12,3.5567745960290424,9.136713723815783,101.49834967335691
tft,sifilis,1,3.273319366367043,5.964654795501775,105.18153191526845
tft,sifilis,3,2.91521439084015,5.628478759076825,96.0709363991181
tft,sifilis,6,2.6511987497899208,3.8433917642547915,100.61554858406905
tft,sifilis,12,3.5982128586210522,6.459841044265938,97.65939494473625
tft,tuberculose,1,2.601551520273737,4.107048967728086,71.88349520970368
tft,tuberculose,3,2.9566329052752773,5.1035442840520036,66.5578987196779
tft,tuberculose,6,3.162631075181391,6.13563989506938,69.87287746718101
tft,tuberculose,12,2.629660725188644,4.658838606312349,66.36718685076094
